"Broadcast type","Coverage","Date","Regions"
" Pokթmon Direct
","Pokթmon Sword and Shield
","June 5, 2019
","Japan, North America, Europe, Australia, South Korea, Hong Kong
"

" Feh Channel
","Fire Emblem Heroes
","June 6, 2019
","Japan, North America, Europe
"

" Nintendo Direct: E3 2019
","Nintendo Switch games
","June 11, 2019
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Super Smash Bros. Ultimate _�� Mr. Sakurai Presents ""Hero""
","Super Smash Bros. Ultimate DLC
","July 30, 2019
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Feh Channel
","Fire Emblem Heroes
","August 1, 2019
","Japan, North America, Europe
"

" Indie World
","Indie games for the Nintendo Switch
","August 19, 2019
","North America, Europe
"

" Nintendo Direct
","Nintendo Switch games, with a focus on Luigi's Mansion 3 and Pokթmon Sword and Shield
","September 4, 2019
","Japan, North America, Europe, Australia
"

" Super Smash Bros. Ultimate _�� Mr. Sakurai Presents ""Banjo & Kazooie""
","Super Smash Bros. Ultimate DLC
","September 4, 2019
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" First Anniversary Dragalia Digest
","Dragalia Lost
","September 25, 2019
","Japan, North America, Europe
"

" Feh Channel
","Fire Emblem Heroes
","October 3, 2019
","Japan, North America, Europe
"

" Super Smash Bros. Ultimate _�� Mr. Sakurai Presents ""Terry Bogard""
","Super Smash Bros. Ultimate DLC
","November 6, 2019
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Feh Channel
","Fire Emblem Heroes
","December 4, 2019
","Japan, North America, Europe
"

" Indie World
","Indie games for the Nintendo Switch
","December 10, 2019
","Japan, North America, Europe
"

" Dragalia Digest
","Dragalia Lost
","December 24, 2019
","Japan, North America, Europe
"

" Pokթmon Direct
","Pokթmon Sword and Shield Expansion Pass, Pokթmon Mystery Dungeon: Rescue Team DX
","January 9, 2020
","Japan, North America, Europe, Australia, South Korea, Hong Kong
"

" Super Smash Bros. Ultimate _�� Mr. Sakurai Presents ""Byleth""
","Super Smash Bros. Ultimate DLC
","January 16, 2020
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Feh Channel
","Fire Emblem Heroes
","February 1, 2020
","Japan, North America, Europe
"

" Nintendo Direct
","Animal Crossing: New Horizons
","February 20, 2020
","Japan, North America, Europe, Australia
"
